ID,Name,AnimalType,AgeuponOutcome,Breed,Color,Sex,Neutered,Year,Month,Day,Hour,Minute
1,Has Name,Dog,45,Hybrid,Red,Female,Intact,2015,10,12,12,15
2,Has Name,Dog,104,Hybrid,Black,Female,Neutered,2014,7,26,17,59
3,Has Name,Cat,52,Hybrid,Brown,Male,Neutered,2016,1,13,12,20
4,Has Name,Dog,18,Hybrid,Tricolor,Male,Intact,2013,12,28,18,12
5,Has Name,Dog,104,Hybrid,White,Male,Neutered,2015,9,24,17,59
6,Has Name,Dog,156,Hybrid,Brown,Male,Neutered,2015,6,23,11,17
7,Has Name,Cat,676,Hybrid,Brown,Male,Neutered,2014,3,12,9,45
8,Has Name,Cat,27,Hybrid,Brown,Female,Neutered,2014,6,25,8,27
9,Has Name,Dog,13,Purebred,Black,Female,Neutered,2014,11,12,18,5
10,Has Name,Dog,52,Hybrid,Brown,Female,Neutered,2014,4,7,17,41
11,Has Name,Dog,22,Hybrid,White,Female,Neutered,2014,1,1,17,3
12,Has Name,Dog,104,Hybrid,Blue,Female,Intact,2014,9,19,15,40
13,Has Name,Dog,27,Hybrid,Brown,Female,Neutered,2015,1,25,15,13
14,No Name,Dog,104,Hybrid,White,Male,Neutered,2015,9,22,18,17
15,Has Name,Dog,52,Hybrid,Black,Male,Neutered,2014,7,20,19,24
16,Has Name,Dog,18,Hybrid,White,Female,Neutered,2014,3,26,18,33
17,Has Name,Dog,260,Hybrid,Black,Male,Neutered,2015,5,29,17,4
18,Has Name,Dog,156,Purebred,White,Male,Neutered,2016,1,19,19,31
19,Has Name,Cat,156,Hybrid,Torbie,Female,Neutered,2014,6,16,12,49
20,No Name,Cat,208,Hybrid,Torbie,Female,Intact,2014,2,11,19,27
21,Has Name,Cat,104,Hybrid,Black,Female,Neutered,2014,11,14,19,32
22,No Name,Cat,3,Hybrid,Black,Female,Unknown,2015,5,4,13,46
23,Has Name,Dog,52,Hybrid,White,Male,Neutered,2014,6,7,14,14
24,No Name,Cat,1,Hybrid,Tortie,Female,Intact,2014,7,20,15,37
25,Has Name,Dog,52,Hybrid,Tan,Female,Neutered,2013,10,26,16,23
26,No Name,Cat,52,Hybrid,Brown,Male,Neutered,2014,12,29,13,10
27,Has Name,Cat,9,Hybrid,Black,Female,Neutered,2015,7,23,16,18
28,No Name,Dog,9,Hybrid,Brown,Male,Intact,2015,3,19,8,33
29,Has Name,Dog,156,Hybrid,Black,Male,Neutered,2014,10,9,17,22
30,Has Name,Dog,104,Hybrid,Black,Male,Neutered,2014,5,13,17,3
31,No Name,Dog,208,Hybrid,Black,Female,Neutered,2015,5,5,15,13
32,Has Name,Dog,9,Hybrid,Black,Female,Neutered,2015,1,31,11,36
33,No Name,Cat,104,Hybrid,Brown,Male,Neutered,2013,11,14,15,2
34,Has Name,Cat,9,Hybrid,Brown,Male,Neutered,2015,4,25,18,5
35,Has Name,Cat,9,Hybrid,Tortie,Female,Intact,2015,8,2,12,59
36,Has Name,Dog,52,Hybrid,Red,Male,Neutered,2014,3,24,12,15
37,No Name,Cat,156,Hybrid,Brown,Male,Neutered,2015,11,3,9,0
