AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Sex,Neutered,Year,Month,Day,Hour,Minute
A671945,Has Name,Return_to_owner,Dog,52,Hybrid,Brown,Male,Neutered,2014,2,12,18,22
A656520,Has Name,Euthanasia,Cat,52,Hybrid,Cream,Female,Neutered,2013,10,13,12,44
A686464,Has Name,Adoption,Dog,104,Hybrid,Blue,Male,Neutered,2015,1,31,12,28
A683430,No Name,Transfer,Cat,3,Hybrid,Blue,Male,Intact,2014,7,11,19,9
A667013,No Name,Transfer,Dog,104,Hybrid,Tan,Male,Neutered,2013,11,15,12,52
A677334,Has Name,Transfer,Dog,4,Hybrid,Black,Female,Intact,2014,4,25,13,4
A699218,Has Name,Transfer,Cat,3,Hybrid,Blue,Male,Intact,2015,3,28,13,11
A701489,No Name,Transfer,Cat,3,Hybrid,Brown,Female,Unknown,2015,4,30,17,2
A671784,Has Name,Adoption,Dog,22,Hybrid,Red,Female,Neutered,2014,2,4,17,17
A677747,No Name,Adoption,Dog,52,Purebred,White,Female,Neutered,2014,5,3,7,48
A668402,No Name,Transfer,Cat,104,Hybrid,Black,Female,Unknown,2013,12,5,15,50
A666320,No Name,Adoption,Dog,104,Hybrid,Silver,Female,Neutered,2013,11,4,14,48
A684601,Has Name,Adoption,Dog,208,Hybrid,Brown,Male,Neutered,2016,2,3,11,27
A704702,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Male,Neutered,2015,6,8,16,30
A688584,Has Name,Return_to_owner,Dog,52,Hybrid,White,Male,Neutered,2015,11,25,15,0
A678825,Has Name,Adoption,Cat,13,Hybrid,Orange,Male,Neutered,2014,7,12,12,10
A678050,No Name,Transfer,Cat,3,Hybrid,Brown,Male,Intact,2014,5,3,16,15
A680028,No Name,Transfer,Dog,2,Hybrid,Brown,Female,Intact,2014,6,7,12,54
A679010,Has Name,Transfer,Cat,104,Hybrid,White,Female,Intact,2014,5,17,11,32
A684787,Has Name,Return_to_owner,Dog,52,Hybrid,Black,Male,Neutered,2014,7,30,17,34
A670658,Has Name,Transfer,Dog,9,Hybrid,Black,Male,Intact,2014,1,19,15,3
A708812,Has Name,Transfer,Cat,52,Hybrid,White,Female,Neutered,2015,9,18,15,19
A705262,Has Name,Adoption,Dog,104,Hybrid,Brown,Female,Neutered,2015,8,15,14,22
A665781,Has Name,Adoption,Dog,45,Hybrid,Brown,Male,Neutered,2013,10,28,16,32
A676333,Has Name,Return_to_owner,Dog,9,Hybrid,Black,Male,Neutered,2014,4,9,17,44
A712750,Has Name,Transfer,Cat,4,Hybrid,Orange,Female,Intact,2015,10,3,15,44
A718832,Has Name,Adoption,Dog,27,Hybrid,Chocolate,Female,Neutered,2016,1,15,17,31
A698777,Has Name,Adoption,Dog,260,Hybrid,White,Female,Neutered,2015,3,25,18,50
A715348,Has Name,Adoption,Cat,9,Hybrid,Cream,Female,Neutered,2015,11,21,13,1
